scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_same,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,70.385533,70.385533,68.735460,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_same,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,75.718330,75.718330,73.393313,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_same,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,13.673455,13.673455,9.278727,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_same,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,73.430202,73.430202,71.934779,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_same,star,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,76.368963,76.368963,75.153923,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_same,star,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,15.765434,15.765434,10.124860,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_same,star,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,79.548628,79.548628,77.716391,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_same,star,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,79.971230,79.971230,77.916527,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_same,star,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,21.283400,21.283400,16.820141,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_same,star,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,80.413050,80.413050,78.969168,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_same,star,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,80.890872,80.890872,79.216550,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_same,star,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,19.486003,19.486003,15.349223,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
random_intensity,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,70.386095,70.386095,68.736022,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_intensity,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,75.718354,75.718354,73.393348,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_intensity,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,13.670991,13.670991,9.286952,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_intensity,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,73.430671,73.430671,71.935247,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_intensity,star,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,76.369011,76.369011,75.153977,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_intensity,star,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,15.764485,15.764485,10.123911,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_intensity,star,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,79.548700,79.548700,77.716464,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_intensity,star,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,79.970867,79.970867,77.916850,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_intensity,star,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,21.283862,21.283862,16.840170,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_intensity,star,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,80.412920,80.412920,78.969209,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_intensity,star,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,80.890829,80.890829,79.216507,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_intensity,star,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,19.483833,19.483833,15.347054,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
crux_no_compress,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,27.374022,27.374022,26.053964,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,57.226758,57.226758,54.928663,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux_no_compress,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.062979,15.062979,9.289133,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
crux_no_compress,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,28.384718,28.384718,27.188384,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,star,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,43.277924,43.277924,41.576923,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux_no_compress,star,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.080281,17.080281,10.195112,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux_no_compress,star,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,30.539915,30.539915,29.141490,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,star,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,60.911355,60.911355,58.488305,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
crux_no_compress,star,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,23.098729,23.098729,18.443477,1.292181,1.515434,1259254399.633792,2:2;3:2;2:3;3:3;0:2;1:2;2:0;3:0
crux_no_compress,star,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,30.891300,30.891300,29.547981,0.337768,10.753814,34185608902.838707,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,star,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,61.278674,61.278674,59.262214,0.336077,11.256473,35963653528.793274,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux_no_compress,star,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,23.847173,23.847173,18.448415,1.171837,1.348916,1235997695.369468,0:3;1:3;2:1;3:1;0:0;1:0;2:1;3:1
crux,star,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,27.374022,27.374022,26.053964,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,star,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,57.226758,57.226758,54.928663,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux,star,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.062979,15.062979,9.289133,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
crux,star,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,28.384718,28.384718,27.188384,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,star,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,43.277924,43.277924,41.576923,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux,star,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.080281,17.080281,10.195112,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux,star,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,30.539915,30.539915,29.141490,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,star,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,60.911355,60.911355,58.488305,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
crux,star,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,23.098729,23.098729,18.443477,1.292181,1.515434,1259254399.633792,2:2;3:2;2:3;3:3;0:2;1:2;2:0;3:0
crux,star,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,30.891300,30.891300,29.547981,0.337768,10.753814,34185608902.838707,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,star,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,61.278674,61.278674,59.262214,0.336077,11.256473,35963653528.793274,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux,star,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,23.847173,23.847173,18.448415,1.171837,1.348916,1235997695.369468,0:3;1:3;2:1;3:1;0:0;1:0;2:1;3:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,85.254961,85.254961,83.604888,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,91.239455,91.239455,88.959536,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,14.653818,14.653818,10.235722,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,88.877152,88.877152,87.381734,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_same,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,92.251991,92.251991,91.117990,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.153416,17.153416,11.512842,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,96.016550,96.016550,94.184314,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,96.373574,96.373574,94.277118,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_same,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,24.173703,24.173703,19.648459,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_same,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,96.860857,96.860857,95.563849,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_same,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,97.486650,97.486650,95.812329,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_same,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,21.982833,21.982833,17.605666,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,85.254949,85.254949,83.604876,0.330015,8.594861,27964405134.098450,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,91.239459,91.239459,88.959539,0.495209,9.277925,20116950358.263126,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,14.642823,14.642823,10.224728,1.265609,0.716645,608001173.609735,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,88.877149,88.877149,87.381731,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,92.251991,92.251991,91.117990,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.140672,17.140672,11.500098,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,96.016549,96.016549,94.184313,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,96.373573,96.373573,94.277116,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,24.174205,24.174205,19.670533,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,96.860858,96.860858,95.563850,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,97.486651,97.486651,95.812330,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
