scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,21.979675,21.979675,17.602507,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,53.522202,53.522202,52.202144,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,63.114547,63.114547,60.850210,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.120328,15.120328,9.334915,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,55.860443,55.860443,54.664109,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,59.989345,59.989345,58.288343,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.139776,17.139776,10.260865,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,61.796453,61.796453,60.398028,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,66.655407,66.655407,64.232358,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,23.178321,23.178321,18.523068,1.292181,1.515434,1259254399.633792,2:2;3:2;2:3;3:3;0:2;1:2;2:0;3:0
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,62.581708,62.581708,61.238388,0.337768,10.753814,34185608902.838707,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,67.164387,67.164387,65.147927,0.336077,11.256473,35963653528.793274,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,23.888099,23.888099,18.485825,1.171837,1.348916,1235997695.369468,0:3;1:3;2:1;3:1;0:0;1:0;2:1;3:1
crux,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,53.522202,53.522202,52.202144,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,63.114547,63.114547,60.850210,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.120328,15.120328,9.334915,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,55.860443,55.860443,54.664109,0.299084,9.096861,32658700195.001358,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,59.989345,59.989345,58.288343,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.139776,17.139776,10.260865,1.658161,0.797007,516101780.945749,0:0;1:0;2:0;3:0;0:1;1:1;2:1;3:1
crux,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,61.796453,61.796453,60.398028,0.366447,10.371652,30390390190.311924,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,66.655407,66.655407,64.232358,0.427910,10.470158,26272467870.272526,2:0;3:0;0:0;1:0;2:1;3:1;0:1;1:1
crux,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,23.178321,23.178321,18.523068,1.292181,1.515434,1259254399.633792,2:2;3:2;2:3;3:3;0:2;1:2;2:0;3:0
crux,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,62.581708,62.581708,61.238388,0.337768,10.753814,34185608902.838707,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,67.164387,67.164387,65.147927,0.336077,11.256473,35963653528.793274,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,23.888099,23.888099,18.485825,1.171837,1.348916,1235997695.369468,0:3;1:3;2:1;3:1;0:0;1:0;2:1;3:1
random_same,ascend,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,21.864450,21.864450,20.808404,0.330015,8.594861,27964405134.098450,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5
random_same,ascend,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,23.445938,23.445938,21.861269,0.495209,9.277925,20116950358.263126,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4
random_same,ascend,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,6.751260,6.751260,3.709065,1.265609,0.716645,608001173.609735,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3
random_same,ascend,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,22.656575,22.656575,21.843451,0.299084,9.096861,32658700195.001358,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2
random_same,ascend,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,23.306476,23.306476,22.626076,0.283500,9.638824,36506519330.634674,3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1
random_same,ascend,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,9.111252,9.111252,5.131665,1.658161,0.797007,516101780.945749,4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0
random_same,ascend,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,23.810155,23.810155,22.930681,0.366447,10.371652,30390390190.311924,5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7
random_same,ascend,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,23.913028,23.913028,22.886044,0.427910,10.470158,26272467870.272526,6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6
random_same,ascend,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,10.097017,10.097017,6.912526,1.292181,1.515434,1259254399.633792,7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5
random_same,ascend,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,24.148140,24.148140,23.216417,0.337768,10.753814,34185608902.838707,7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4
random_same,ascend,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,24.520363,24.520363,23.474512,0.336077,11.256473,35963653528.793274,0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3
random_same,ascend,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,9.881492,9.881492,6.787680,1.171837,1.348916,1235997695.369468,1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2
random_intensity,ascend,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,21.833815,21.833815,20.777768,0.330015,8.594861,27964405134.098450,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5
random_intensity,ascend,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,23.448292,23.448292,21.863623,0.495209,9.277925,20116950358.263126,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4
random_intensity,ascend,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,6.758193,6.758193,3.720604,1.265609,0.716645,608001173.609735,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3
random_intensity,ascend,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,22.634876,22.634876,21.811843,0.299084,9.096861,32658700195.001358,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2
random_intensity,ascend,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,23.313795,23.313795,22.633394,0.283500,9.638824,36506519330.634674,3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1
random_intensity,ascend,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,8.931918,8.931918,4.952331,1.658161,0.797007,516101780.945749,4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0
random_intensity,ascend,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,23.799498,23.799498,22.920024,0.366447,10.371652,30390390190.311924,5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7
random_intensity,ascend,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,23.908812,23.908812,22.881828,0.427910,10.470158,26272467870.272526,6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6
random_intensity,ascend,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,10.024772,10.024772,6.862517,1.292181,1.515434,1259254399.633792,7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5
random_intensity,ascend,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,24.147716,24.147716,23.215992,0.337768,10.753814,34185608902.838707,7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4
random_intensity,ascend,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,24.521833,24.521833,23.475982,0.336077,11.256473,35963653528.793274,0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3
random_intensity,ascend,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,9.722269,9.722269,6.646034,1.171837,1.348916,1235997695.369468,1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2
crux_no_compress,ascend,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,1.841236,1.841236,1.049201,0.330015,8.594861,27964405134.098450,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,23.840583,23.840583,21.859746,0.495209,9.277925,20116950358.263126,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,7.775675,7.775675,3.236451,1.265609,0.716645,608001173.609735,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
crux_no_compress,ascend,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,1.828266,1.828266,1.110466,0.299084,9.096861,32658700195.001358,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,1.857008,1.857008,1.176608,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,10.223937,10.223937,3.805796,1.658161,0.797007,516101780.945749,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,2.145516,2.145516,1.266043,0.366447,10.371652,30390390190.311924,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,24.744247,24.744247,23.032608,0.427910,10.470158,26272467870.272526,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
crux_no_compress,ascend,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,11.510610,11.510610,5.970822,1.292181,1.515434,1259254399.633792,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,2.123327,2.123327,1.312682,0.337768,10.753814,34185608902.838707,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,2.180612,2.180612,1.374028,0.336077,11.256473,35963653528.793274,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux_no_compress,ascend,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,9.878941,9.878941,5.564770,1.171837,1.348916,1235997695.369468,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
crux,ascend,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,1.841236,1.841236,1.049201,0.330015,8.594861,27964405134.098450,5:0;5:1;5:2;5:3;5:4;5:5;5:6;5:7
crux,ascend,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,23.840583,23.840583,21.859746,0.495209,9.277925,20116950358.263126,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux,ascend,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,7.775675,7.775675,3.236451,1.265609,0.716645,608001173.609735,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
crux,ascend,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,1.828266,1.828266,1.110466,0.299084,9.096861,32658700195.001358,3:0;3:1;3:2;3:3;3:4;3:5;3:6;3:7
crux,ascend,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,1.857008,1.857008,1.176608,0.283500,9.638824,36506519330.634674,0:0;0:1;0:2;0:3;0:4;0:5;0:6;0:7
crux,ascend,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,10.223937,10.223937,3.805796,1.658161,0.797007,516101780.945749,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux,ascend,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,2.145516,2.145516,1.266043,0.366447,10.371652,30390390190.311924,4:0;4:1;4:2;4:3;4:4;4:5;4:6;4:7
crux,ascend,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,24.744247,24.744247,23.032608,0.427910,10.470158,26272467870.272526,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
crux,ascend,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,11.510610,11.510610,5.970822,1.292181,1.515434,1259254399.633792,6:4;7:4;6:5;7:5;6:6;7:6;6:7;7:7
crux,ascend,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,2.123327,2.123327,1.312682,0.337768,10.753814,34185608902.838707,2:0;2:1;2:2;2:3;2:4;2:5;2:6;2:7
crux,ascend,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,2.180612,2.180612,1.374028,0.336077,11.256473,35963653528.793274,1:0;1:1;1:2;1:3;1:4;1:5;1:6;1:7
crux,ascend,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,9.878941,9.878941,5.564770,1.171837,1.348916,1235997695.369468,6:0;7:0;6:1;7:1;6:2;7:2;6:3;7:3
